time,open,high,low,close,volume
1502942400,301.13,302.57,298,301.61,125.66877000000001
1502946000,301.61,303.28,300,303.1,377.67246000000017
1502949600,302.4,304.44,301.9,302.68,303.86672000000016
1502953200,302.68,307.96,302.6,307.96,754.7450999999998
1502956800,307.95,309.97,307,308.62,150.75029000000006
1502960400,308.62,312,308.62,310,469.27879
1502964000,310,310.97,308.54,309.3,284.3914
1502967600,308.3,310.68,307.78,308.95,273.29040000000003
1502971200,308.95,310.51,307.98,308.62,401.79278
1502974800,308.62,309.72,307.77,309.4,310.58042
1502978400,307.77,308.71,305.49,306.5,710.25965
1502982000,306.5,308.76,303.56,307.06,459.4198200000001
1502985600,307.06,312.18,298.21,308,596.81077
1502989200,308,308.33,303.98,308.33,191.94856000000004
1502992800,308.33,311.53,298.96,309.1,203.65479999999997
1502996400,309.1,309.84,301.6,301.6,215.63778999999994
1503000000,301.6,309.4,299.01,304.79,272.42251000000005
1503003600,304.79,309.4,304.04,307.44,330.5452599999999
1503007200,308.57,310.74,303.44,306.74,368.36785000000003
1503010800,306.74,310.85,302,302,229.6062
1503014400,302,306.2,297.4,301.19,501.26557999999983
1503018000,300.08,305.55,295.19,298.73,374.41661000000005
1503021600,298.73,304.7,298.73,300.52,208.9684900000001
1503025200,300.05,306.47,300.05,301.4,605.9325100000001
1503028800,301.4,302.95,298.41,301.8,444.3379500000001
1503032400,301.8,305.92,300,304.7,525.3335699999999
1503036000,304.7,307,303.21,307,356.1222
1503039600,307,309.49,305.23,306.24,406.73244
1503043200,306.24,310.85,303.79,304.23,313.23741999999993
1503046800,304.23,307.72,303.22,304.71,306.05941
1503050400,304.73,311.06,304.73,308.88,332.5642999999999
1503054000,308.88,311.79,306.27,307.78,261.1517
1503057600,307.78,310.29,305.73,308.47,388.17208000000016
1503061200,307.17,309.66,301.3,303.22,357.19041000000004
1503064800,303.22,303.22,296.32,298.52,398.64644000000004
1503068400,298.52,300.99,297.32,298.8,214.98577999999998
1503072000,298.8,301.11,295.64,299.21,403.96385999999995
1503075600,297.5,299.21,293.18,295.53,359.1222500000002
1503079200,295.53,298.25,289.75,289.75,412.39491
1503082800,289.75,295.6,287.37,293.83,445.2339700000001
1503086400,295.46,295.46,288.25,291.87,748.2153699999998
1503090000,291.87,291.87,283.94,286.3,602.0351199999997
1503093600,288.01,294.19,284.02,293.74,477.84453
1503097200,293.74,294.18,289.97,293.96,93.91956
1503100800,293.96,297.15,293.31,295.44,86.0015
1503104400,297.15,298.2,294.24,297.19,41.963770000000004
1503108000,297.19,299.84,296.56,299.84,87.48967999999999
1503111600,298.64,298.64,292.83,293.22,66.73802
1503115200,294.69,297.19,291.87,291.87,42.992599999999996
1503118800,291.87,299.9,291.87,293.23,35.013239999999996
1503122400,293.23,295.56,289.02,289.02,45.0222
1503126000,289.02,292.17,287.01,290.16,112.26406000000001
1503129600,290.16,290.16,287,288.4,148.37539000000004
1503133200,287.66,293.17,287.66,290.3,228.92457
1503136800,291.36,292.24,283.58,287.14,447.45268000000004
1503140400,285.97,287.15,278,282.58,314.27781
1503144000,281.39,290.85,279.56,290.85,166.32417
1503147600,290.85,290.85,286.36,286.36,20.945149999999998
1503151200,286.36,288.64,283,283,13.81812
1503154800,283.88,288.64,283.01,288.64,87.21250000000002
1503158400,288.64,290.16,286.12,286.14,61.94884000000001
1503162000,286.14,293.15,284.16,293.15,11.12991
1503165600,293.15,295,288.95,295,41.138819999999996
1503169200,295,295,291.99,293.31,13.168320000000001
1503172800,293.31,293.31,288.8,290.31,13.80734
1503176400,290.31,293.25,289.9,293.25,25.0304
1503180000,293.25,294.9,290.91,290.91,35.158640000000005
1503183600,290.91,290.91,290.91,290.91,0
1503187200,290.91,292.42,286.91,287,15.54493
1503190800,287,290.87,285.96,289.94,17.24852
1503194400,289.94,292.42,287.66,292.42,32.599270000000004
1503198000,292.42,292.42,289.47,292.41,3.0082
1503201600,292.41,292.41,287.97,288.3,6.65904
1503205200,288.3,293.15,285.39,292.17,42.897560000000006
1503208800,292.17,293.15,289,293.12,35.00818
1503212400,293.1,295.56,287.87,292.08,167.69749999999996
1503216000,293.02,295.98,282.85,295.98,159.52168999999995
1503219600,295.98,295.98,292.59,295.96,4.86604
1503223200,295.96,296.89,293.43,295.51,24.8355
1503226800,292.59,295.51,292.59,295,51.53645
1503230400,295,296.92,294.29,296.92,57.35344
1503234000,296.39,296.39,292.28,293.41,6.095470000000001
1503237600,293.41,294.25,293.41,294.25,3.9
1503241200,294.25,295.16,294.25,295.1,0.01579
1503244800,295.1,297.92,293.28,296.46,74.02462000000001
1503248400,296.46,298.79,293.63,296.88,100.71171
1503252000,296.88,300.53,295.89,298.57,41.00621
1503255600,298.57,298.57,294.91,297.88,145.82440999999997
1503259200,297.87,297.88,294.51,297.27,260.07005000000004
1503262800,297.27,298.3,295.19,298.13,353.55114
1503266400,298.13,299.52,297.6,298.19,422.4115300000001
1503270000,297.68,300.53,297.19,299.1,483.7514600000001
1503273600,299.1,300.9,295.76,300.7,370.66684
1503277200,300.7,300.7,294.6,299,213.50154999999998
1503280800,299,299,294.6,297.51,71.75290000000001
1503284400,299,299.85,297.12,299.85,67.88466000000001
1503288000,299.85,304.83,299.11,303.91,275.65819999999997
1503291600,303.91,314.28,303.91,314.05,256.5098
1503295200,314.05,329.49,313.28,321.79,232.70888999999997
1503298800,320.28,325.3,313,318.5,123.69424
1503302400,318.5,324.3,312.75,318.72,21.51
1503306000,318.72,318.72,314.98,317.29,23.537280000000003
1503309600,317.29,325.3,316.77,321.21,85.346
1503313200,321.21,333.66,312.6,331.53,76.98357999999999
1503316800,331.33,331.33,325.42,331.3,94.82266
1503320400,331.3,346.52,329.41,346.52,402.39209000000005
1503324000,344.38,345.31,328.68,334.17,379.94648
1503327600,334.17,338.34,329.47,334.94,350.27901999999983
1503331200,334.94,338.34,333.25,338.33,276.92293000000006
1503334800,338.33,342.72,330.8,332.33,509.0900700000001
1503338400,332.12,333.63,316.82,316.82,503.65311
1503342000,328.47,332.33,327.7,329.71,425.40660999999994
1503345600,332.27,332.74,320.88,325.28,289.46359
1503349200,325.28,326.8,318.42,326.79,58.45958
1503352800,325.79,325.79,318.45,318.45,29.835389999999997
1503356400,318.45,323.29,316.12,323.29,79.41995
1503360000,323.29,330.41,318.72,323.04,406.3495
1503363600,323.04,325.07,302.27,309.97,169.73213000000004
1503367200,309.97,315.2,301.4,312.99,143.49091
1503370800,310,317.68,280,280,90.0427
1503374400,144.21,309.03,144.21,287,149.91376000000002
1503378000,287,303,279.96,279.96,28.299749999999996
1503381600,279.96,310.24,279.96,305.37,228.01188000000002
1503385200,305.37,305.37,294.38,300.35,301.2471
1503388800,300.35,302.26,296,299.82,516.27772
1503392400,301.09,310.24,300.3,308.33,557.5803599999997
1503396000,308.33,313.16,305.4,310.24,537.6753800000001
1503399600,309.4,312.93,306.97,308.03,564.59159
1503403200,311.16,311.24,304.53,311.23,671.8851199999999
1503406800,306.66,310.27,306.65,307.08,404.7741100000001
1503410400,307.08,309.53,301.48,305.48,393.09732
1503414000,305.48,309.85,304.88,308.39,287.07405000000006
1503417600,305.08,320.24,305.08,317.74,455.53867
1503421200,316.24,320.76,312,312.07,247.04943999999998
1503424800,313.99,315.25,309.6,310.77,378.04740000000004
1503428400,310.77,314.83,307.03,307.03,223.61559
1503432000,307.03,312,305.66,310.19,251.25776000000002
1503435600,310.27,311.99,305.08,309.16,277.13507
1503439200,309.16,313.1,309.16,310.61,302.25672
1503442800,310.61,313.99,306.9,309.8,371.40684999999996
1503446400,312.25,313.99,309.41,312.45,202.93145
1503450000,310.56,314.82,310.56,312.67,170.07430000000005
1503453600,314.8,316.27,312.66,314.15,482.2295700000001
1503457200,315.71,319.78,312.98,317.26,233.09815000000003
1503460800,315.45,324.99,315.45,323,432.60958000000005
1503464400,320.73,323.26,316.51,316.74,262.04246000000006
1503468000,316.74,323.29,315.35,322.1,435.21334999999993
1503471600,319.77,323.3,318.04,319.06,246.19782000000004
1503475200,319.06,323.19,318.02,322.07,390.9726699999999
1503478800,319.74,324.51,319.74,320.74,312.13542
1503482400,320.74,324.21,319.73,319.74,260.26644
1503486000,319.74,323.07,318.95,319.2,322.49949999999995
1503489600,319.2,322,313.75,316.96,598.9182700000001
1503493200,316.96,318.96,314.5,316,686.7023700000002
1503496800,315.04,318.96,313.81,318.29,514.84876
1503500400,318.29,319.32,315.53,319.2,305.91619
1503504000,319.2,319.21,315.53,318.85,790.8353899999997
1503507600,318.39,320.32,317.19,318.47,269.24305999999996
1503511200,318.48,321.29,318.25,318.3,253.30139000000003
1503514800,318.3,322.34,316.73,318.57,322.11689
1503518400,318.57,320.2,312.05,313.75,481.5440699999999
1503522000,314.74,319.47,314.66,316.68,239.65437000000003
1503525600,316.68,318.62,313.78,316.74,203.49297000000004
1503529200,316.74,319.47,315.45,315.74,248.88124999999997
1503532800,315.74,318.45,314.4,317.44,280.73304999999993
1503536400,315.52,318.45,314.01,315.08,316.04429
1503540000,315.08,318.44,314.06,315.05,190.08967999999996
1503543600,315.05,318.44,315.04,315.22,274.30695999999995
1503547200,315.22,319.47,314.31,316.45,256.6195900000001
1503550800,316.46,322.36,316.14,318,321.99605000000014
1503554400,319.57,320.53,316.15,320.53,296.71128000000004
1503558000,320.53,321.14,317.53,318.54,198.74900000000002
1503561600,318.54,321.07,318.54,320.32,289.02874
1503565200,320.32,322,318.53,318.75,339.1886400000001
1503568800,320.03,321.3,316.66,317.02,630.7173299999998
1503572400,317.02,323.61,316.14,323.61,411.5684800000001
1503576000,322.51,328.04,317.9,322,347.54966
1503579600,319.01,325.37,318.97,324.8,355.6927
1503583200,323.8,326.79,320.84,320.84,316.22926999999993
1503586800,320.84,323.98,320.84,321.2,118.57683
1503590400,321.2,323.68,319,322,203.90406
1503594000,322,323.56,318.97,322.45,203.63927
1503597600,322.45,323.79,320.17,322.76,242.60002999999998
1503601200,322.76,325.35,321.22,321.23,258.98256
1503604800,321.23,324,318.97,320.04,138.61314
1503608400,320.04,322.29,318.97,321.21,265.99646000000007
1503612000,321.22,326.33,319.83,323.72,308.09107000000006
1503615600,323.72,326.25,322.3,323.42,187.64378
1503619200,323.42,327.81,323.42,325.54,485.63977
1503622800,327.8,328.82,324.41,328.81,462.3157400000001
1503626400,328.81,329.93,324.42,328.19,258.63674999999995
1503630000,328.19,330.44,325.4,326.55,200.25624000000002
1503633600,326.55,331.35,326.55,331.35,324.10004
1503637200,331.34,335,329.18,331.73,244.29766
1503640800,331.73,333.31,328.69,330.17,225.15560000000002
1503644400,330.17,334.34,330.17,330.29,322.05362
1503648000,330.29,334.34,329.86,334.17,318.2700900000001
1503651600,334.17,335.41,331.09,331.09,217.82876000000007
1503655200,330.11,333.42,327.69,329.78,333.09477999999996
1503658800,331.69,331.69,327.4,331.26,330.23241
1503662400,331.26,335.33,328.72,330.7,1348.31341
1503666000,330.7,334.74,330.68,332,184.12642000000002
1503669600,332.89,333.68,330.67,331.95,286.77891
1503673200,332.57,335.33,330.68,333.15,141.95925999999997
1503676800,333.15,338.28,333.15,334.77,199.13676999999993
1503680400,336.35,337,331.88,332.01,138.08871000000002
1503684000,333.2,336.49,331.88,333.27,146.0636
1503687600,333.27,335.1,325.42,328.71,267.97045999999995
1503691200,329.91,330.99,324.9,330.98,196.49748000000005
1503694800,327.8,332.26,326.77,330.18,201.47090000000003
1503698400,330.18,332.27,326.99,328.6,100.21030999999999
1503702000,329.81,330.99,326.25,327.24,193.47193000000004
1503705600,327.24,332.27,327.24,328.26,153.95313999999996
1503709200,332.26,332.26,325.02,325.39,122.81320000000001
1503712800,325.39,328.02,323.41,324.72,174.12675000000004
1503716400,324.72,328.02,323.46,323.46,118.68492
1503720000,323.46,326.74,323.41,324.72,196.89671999999996
1503723600,323.56,326.86,323.55,326.23,285.19418
1503727200,325.23,329.69,324.06,326.19,199.73727999999994
1503730800,326.19,328.91,325.17,327.9,388.87032000000005
1503734400,328.45,330.73,327.58,328.82,186.86310000000003
1503738000,330.63,330.89,326.69,327.69,167.41761000000008
1503741600,327.69,330.89,327.69,327.89,257.33601
1503745200,327.89,331.25,326.69,327.89,244.92428
1503748800,328.25,330.11,325.1,330.11,231.13593
1503752400,326.14,332.26,324.06,330.98,309.07768999999996
1503756000,330.98,335.44,329.83,332.34,190.9403000000001
1503759600,332.34,334.16,327,327,209.43090000000007
1503763200,327,330.38,326.7,330.38,156.03136000000003
1503766800,330.38,332.11,326.79,331.04,196.30352999999997
1503770400,327.38,332.1,327.03,328.08,226.97144999999995
1503774000,329.78,334.17,328.88,331.19,223.69460999999998
1503777600,332.68,334.17,330.18,331.12,213.56767000000005
1503781200,331.12,334.16,330.49,334.16,10.76919
1503784800,330.51,332.93,329.33,330.6,247.83682999999996
1503788400,332.43,334.17,330.6,330.79,165.10823999999997
1503792000,332.18,336.55,330.79,334.37,345.34454
1503795600,334.37,336.55,331.98,334.47,175.00160999999997
1503799200,334.47,338.28,333.12,333.12,264.11434999999994
1503802800,333.96,335.99,330.79,331.62,272.16184000000004
1503806400,334.5,338.29,331.49,334.84,225.92548
1503810000,337.52,337.52,331.86,335,209.66722
1503813600,335,336.36,332.74,333.77,94.16174
1503817200,333.77,336.49,332.77,332.77,159.41235999999998
1503820800,332.77,334.7,331.61,334.48,191.57695999999999
1503824400,334.48,336.25,330.73,336.25,171.54931
1503828000,334.88,337.53,332.28,337.53,208.23047999999997
1503831600,337.53,338.42,333.68,333.94,285.89313999999996
1503835200,333.93,336.9,331.88,333.57,104.46135999999998
1503838800,333.57,336.99,333.52,335.6,190.68011999999996
